,credit_score,mi_pct,num_units,cltv,dti,original_upb,ltv,interest_rate,original_loan_term,num_borrowers,target_12m_serious_dq
credit_score,1.0,-0.0145938904234295,0.0007448661775093288,-0.02043933287244503,-0.03655808404508961,0.0317795417059389,-0.02005489326390332,-0.03546009170515825,-0.013628217949461492,-0.02227932954035153,-0.02028280861009136
mi_pct,-0.0145938904234295,1.0,-0.05994501307531874,0.6684192577737638,0.06156846768442583,0.1014395067729399,0.6788231225156222,0.1802292163119382,0.2400472281258989,-0.01775025106614242,0.024888948694522635
num_units,0.0007448661775093288,-0.05994501307531874,1.0,-0.04704844656450484,0.020411310701113825,0.05266100585653459,-0.04666036506600232,0.03540217199593185,0.02003355836666429,-0.01988251688593278,0.006499555675601801
cltv,-0.02043933287244503,0.6684192577737638,-0.04704844656450484,1.0,0.07547205072562388,0.18708374296927777,0.9851826667650306,0.17156623378774555,0.31589814805483163,-0.03276149547242302,0.0324805120275912
dti,-0.03655808404508961,0.06156846768442583,0.020411310701113825,0.07547205072562388,1.0,0.05205289301718695,0.07445228898234513,0.13135452680733128,0.08438586817895352,-0.04385258217945692,0.02434497541361553
original_upb,0.0317795417059389,0.1014395067729399,0.05266100585653459,0.18708374296927777,0.05205289301718695,1.0,0.18517360824371706,0.027888903800812645,0.17775378301517827,0.16169735308752572,0.006179496300863069
ltv,-0.02005489326390332,0.6788231225156222,-0.04666036506600232,0.9851826667650306,0.07445228898234513,0.18517360824371706,1.0,0.17362107246736405,0.319356297225748,-0.03371367130635756,0.02996464206932109
interest_rate,-0.03546009170515825,0.1802292163119382,0.03540217199593185,0.17156623378774555,0.13135452680733128,0.027888903800812645,0.17362107246736405,1.0,0.30875737880486653,-0.019187916893336838,0.0007559933271960679
original_loan_term,-0.013628217949461492,0.2400472281258989,0.02003355836666429,0.31589814805483163,0.08438586817895352,0.17775378301517827,0.319356297225748,0.30875737880486653,1.0,-0.033449354983937675,0.018523062003080085
num_borrowers,-0.02227932954035153,-0.01775025106614242,-0.01988251688593278,-0.03276149547242302,-0.04385258217945692,0.16169735308752572,-0.03371367130635756,-0.019187916893336838,-0.033449354983937675,1.0,-0.02359789836753656
target_12m_serious_dq,-0.02028280861009136,0.024888948694522635,0.006499555675601801,0.0324805120275912,0.02434497541361553,0.006179496300863069,0.02996464206932109,0.0007559933271960679,0.018523062003080085,-0.02359789836753656,1.0
